10,1000,668.09,10735.46,2767.16,4341565.69,OLTP-RW-MEM#smblade01-net#mysql55
20,1000,1035.90,14597.56,4151.39,3064254.72,OLTP-RW-MEM#smblade01-net#mysql55
30,1000,1034.70,14600.35,4148.71,3507158.95,OLTP-RW-MEM#smblade01-net#mysql55
40,1000,1028.30,14537.78,4134.09,3760501.38,OLTP-RW-MEM#smblade01-net#mysql55
50,1000,1045.50,14723.50,4194.20,5013915.40,OLTP-RW-MEM#smblade01-net#mysql55
60,1000,1046.50,14725.88,4187.90,5498160.36,OLTP-RW-MEM#smblade01-net#mysql55
70,1000,1035.50,14580.59,4154.40,4655182.15,OLTP-RW-MEM#smblade01-net#mysql55
80,1000,1054.80,14859.17,4229.42,4630167.01,OLTP-RW-MEM#smblade01-net#mysql55
90,1000,1037.10,14591.25,4153.98,5819928.50,OLTP-RW-MEM#smblade01-net#mysql55
100,1000,1009.10,14218.50,4048.20,5736904.06,OLTP-RW-MEM#smblade01-net#mysql55
110,1000,1002.50,14109.39,4017.20,8340252.74,OLTP-RW-MEM#smblade01-net#mysql55
120,1000,1007.10,14203.11,4031.60,8400386.01,OLTP-RW-MEM#smblade01-net#mysql55
130,1000,1045.40,14739.01,4196.60,8471089.68,OLTP-RW-MEM#smblade01-net#mysql55
140,1000,1041.40,14675.51,4180.60,8387822.60,OLTP-RW-MEM#smblade01-net#mysql55
150,1000,1033.50,14531.39,4139.90,7690398.76,OLTP-RW-MEM#smblade01-net#mysql55
160,1000,1027.40,14451.66,4113.99,5986014.59,OLTP-RW-MEM#smblade01-net#mysql55
170,1000,1008.90,14204.95,4044.71,7317599.62,OLTP-RW-MEM#smblade01-net#mysql55
180,1000,1027.00,14479.46,4119.39,7974051.14,OLTP-RW-MEM#smblade01-net#mysql55
190,1000,1015.50,14306.29,4071.40,9118420.15,OLTP-RW-MEM#smblade01-net#mysql55
200,1000,1029.30,14452.44,4127.31,8430615.03,OLTP-RW-MEM#smblade01-net#mysql55
210,1000,1025.10,14423.71,4102.90,8405416.64,OLTP-RW-MEM#smblade01-net#mysql55
220,1000,1026.60,14437.59,4115.00,8041166.47,OLTP-RW-MEM#smblade01-net#mysql55
230,1000,1002.30,14095.88,4012.39,6861488.89,OLTP-RW-MEM#smblade01-net#mysql55
240,1000,995.30,14013.02,3991.01,5592776.65,OLTP-RW-MEM#smblade01-net#mysql55
250,1000,981.40,13782.56,3930.99,4263009.47,OLTP-RW-MEM#smblade01-net#mysql55
260,1000,963.70,13577.25,3859.31,4584654.50,OLTP-RW-MEM#smblade01-net#mysql55
270,1000,971.20,13682.77,3894.99,4127396.17,OLTP-RW-MEM#smblade01-net#mysql55
280,1000,948.40,13378.51,3806.20,3381390.21,OLTP-RW-MEM#smblade01-net#mysql55
290,1000,971.30,13658.76,3893.59,4725380.06,OLTP-RW-MEM#smblade01-net#mysql55
300,1000,947.60,13345.49,3791.30,4289891.66,OLTP-RW-MEM#smblade01-net#mysql55
310,1000,925.40,13068.95,3716.81,2461296.37,OLTP-RW-MEM#smblade01-net#mysql55
320,1000,884.50,12475.09,3543.50,1002674.60,OLTP-RW-MEM#smblade01-net#mysql55
330,1000,879.00,12387.11,3524.70,564530.64,OLTP-RW-MEM#smblade01-net#mysql55
340,1000,861.00,12142.00,3448.00,726789.45,OLTP-RW-MEM#smblade01-net#mysql55
350,1000,869.90,12297.20,3489.30,595782.51,OLTP-RW-MEM#smblade01-net#mysql55
360,1000,845.10,11942.96,3394.29,579252.12,OLTP-RW-MEM#smblade01-net#mysql55
370,1000,911.90,12844.36,3654.42,511737.32,OLTP-RW-MEM#smblade01-net#mysql55
380,1000,887.10,12523.76,3553.99,2073352.61,OLTP-RW-MEM#smblade01-net#mysql55
